Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Quais modelos estão disponíveis atualmente?	Atualmente, temos uma ampla variedade de modelos disponíveis, incluindo SUVs, sedans, hatchbacks, caminhonetes, elétricos e híbridos. Para uma lista completa, por favor, visite nosso site ou entre em contato com nosso atendimento.	Editorial		[]	False	[]	4337	
Vocês têm SUVs no estoque?	Sim, temos vários modelos de SUVs disponíveis no estoque, como o SUV X, SUV Z e SUV A. Fique à vontade para agendar um test drive ou solicitar mais informações sobre cada modelo.	Editorial		[]	False	[]	4338	
Qual é o carro mais econômico disponível?	O carro mais econômico que oferecemos atualmente é o Sedan Y, que possui excelente consumo de combustível e baixo custo de manutenção.	Editorial		[]	False	[]	4339	
Vocês têm carros populares?	Sim, contamos com diversas opções de carros populares que oferecem ótimo custo-benefício. Entre eles, destacam-se o Modelo P e o Modelo Q.	Editorial		[]	False	[]	4340	
Quais são as opções de carros automáticos?	Oferecemos várias opções de carros com câmbio automático, incluindo SUVs, sedans e hatchbacks. Alguns dos modelos disponíveis são o SUV X Automático, o Sedan Y Automático e o Hatchback Z Automático.	Editorial		[]	False	[]	4341	
Vocês têm veículos com baixa quilometragem?	Sim, temos diversos veículos seminovos com baixa quilometragem. Todos os nossos carros passam por uma rigorosa inspeção antes de serem colocados à venda.	Editorial		[]	False	[]	4342	
Qual é o carro mais recente do estoque?	O carro mais recente em nosso estoque é o modelo 2024 do SUV X, que traz as últimas inovações em tecnologia e design.	Editorial		[]	False	[]	4343	
Existem carros elétricos ou híbridos?	Sim, oferecemos uma seleção de carros elétricos e híbridos que combinam eficiência energética com desempenho robusto. Consulte-nos para conhecer os modelos disponíveis.	Editorial		[]	False	[]	4344	
Vocês possuem caminhonetes seminovas?	Sim, temos caminhonetes seminovas de diversas marcas e modelos. Todas passam por uma inspeção completa para garantir sua qualidade.	Editorial		[]	False	[]	4345	
Vocês têm carros de luxo?	Sim, dispomos de uma linha de carros de luxo que oferecem conforto, desempenho e tecnologia de ponta. Entre em nossos modelos disponíveis.	Editorial		[]	False	[]	4346	
Quais sedans estão disponíveis?	Atualmente, temos sedans como o Sedan Y, Sedan Z e Sedan A em nosso estoque. Cada um oferece diferentes recursos para atender às suas necessidades.	Editorial		[]	False	[]	4347	
Vocês têm hatchbacks?	Sim, oferecemos uma variedade de hatchbacks que combinam estilo e funcionalidade. Entre os modelos disponíveis estão o Hatchback Z e o Hatchback A.	Editorial		[]	False	[]	4348	
Quais carros têm menos de 50 mil km rodados?	Dispomos de diversos veículos seminovos com menos de 50 mil km rodados. Para verificar disponibilidade específica, por favor, entre em contato conosco.	Editorial		[]	False	[]	4349	
Vocês têm veículos com bancos de couro?	Sim, alguns dos nossos modelos vêm equipados com bancos de couro, proporcionando maior conforto e elegância.	Editorial		[]	False	[]	4350	
Quais carros possuem teto solar?	Vários modelos em nosso estoque estão equipados com teto solar. Consulte-nos para saber quais opções estão disponíveis.	Editorial		[]	False	[]	4351	
Existe algum carro 4x4 no estoque?	Sim, temos carros com tração 4x4 disponíveis, ideais para quem busca desempenho e versatilidade em diferentes tipos de terreno.	Editorial		[]	False	[]	4352	
Vocês têm veículos adaptados para PCD?	Sim, oferecemos veículos adaptados para Pessoas com Deficiência (PCD). Entre em contato conosco para mais detalhes e opções disponíveis.	Editorial		[]	False	[]	4353	
Vocês têm carros com câmbio automático e manual?	Sim, disponibilizamos carros com ambas as opções de câmbio. Você pode escolher entre modelos automáticos e manuais conforme sua preferência.	Editorial		[]	False	[]	4354	
Qual é o carro com maior capacidade de porta-malas?	O SUV X é o modelo com a maior capacidade de porta-malas em nosso estoque, oferecendo amplo espaço para bagagens e equipamentos.	Editorial		[]	False	[]	4355	
Vocês têm carros para famílias grandes?	Sim, oferecemos veículos espaçosos como SUVs e minivans, perfeitos para famílias grandes que precisam de mais espaço e conforto.	Editorial		[]	False	[]	4356	
Quais são as opções de financiamento?	Oferecemos diversas opções de financiamento para facilitar a compra do seu veículo. Entre em contato com nosso departamento financeiro para conhecer as melhores condições.	Editorial		[]	False	[]	4357	
Qual é a taxa de juros para financiamento?	As taxas de juros para financiamento variam de acordo com o modelo do veículo e o perfil do cliente. Recomendamos agendar uma consulta para obter uma proposta personalizada.	Editorial		[]	False	[]	4358	
